label,x,y,plot_type,plot_num
Landrace_A,0.0,54164.50662700295,path,0
Landrace_A,0.17431632064120753,54164.50662700295,path,0
Landrace_A,0.20039476500977385,55285.13307327201,path,0
Landrace_A,0.23037465278985073,58701.4449227223,path,0
Landrace_A,0.2648396560930909,64695.739540108785,path,0
Landrace_A,0.3044607667992402,73846.28016352873,path,0
Landrace_A,0.35000935995551447,87120.81828796543,path,0
Landrace_A,0.40237221151469116,106416.2650809825,path,0
Landrace_A,0.46256876278908926,135311.12816170277,path,0
Landrace_A,0.5317709677384522,180098.9321669444,path,0
Landrace_A,0.6113261094943964,252321.09728598435,path,0
Landrace_A,0.70278303033152,373563.66573087475,path,0
Landrace_A,0.8079222857509605,578460.515997676,path,0
Landrace_A,0.9287908097398764,920511.059018908,path,0
Landrace_A,1.0677417660974946,1250000.0,path,0
Landrace_A,1.2274803616847734,1250000.0,path,0
Landrace_A,1.4111165135261794,1250000.0,path,0
Landrace_A,1.6222253951282757,1250000.0,path,0
Landrace_A,1.8649170407786229,1250000.0,path,0
Landrace_A,2.1439163629364115,1250000.0,path,0
Landrace_A,2.4646551405565225,1250000.0,path,0
Landrace_A,2.833377769248294,1250000.0,path,0
Landrace_A,3.257262832096545,1250000.0,path,0
Landrace_A,3.7445628579814882,1250000.0,path,0
Landrace_A,4.3047649883228365,1250000.0,path,0
Landrace_A,4.94877568023501,1250000.0,path,0
Landrace_A,5.68913304204026,1250000.0,path,0
Landrace_A,6.54025093505496,1250000.0,path,0
Landrace_A,7.518699594015326,1250000.0,path,0
Landrace_A,8.643528229482401,1250000.0,path,0
Landrace_A,9.936635892904501,1250000.0,path,0
Landrace_A,11.42319782463077,1250000.0,path,0
Landrace_A,13.13215558535544,1250000.0,path,0
Landrace_A,15.096780513258445,1250000.0,path,0
Landrace_A,17.355321476670664,1250000.0,path,0
Landrace_A,19.951749533223758,1250000.0,path,0
Landrace_A,22.936613993096632,1250000.0,path,0
Landrace_A,26.368026552873033,1250000.0,path,0
Landrace_A,30.312792659905156,1250000.0,path,0
Landrace_A,34.84771213347709,1250000.0,path,0
Landrace_A,40.06107436428743,1250000.0,path,0
Landrace_A,46.05437720197416,1250000.0,path,0
Landrace_A,52.944302995340955,1056252.438600161,path,0
Landrace_A,60.86499025639439,757891.8215234432,path,0
Landrace_A,69.97064517474108,540922.5901960505,path,0
Landrace_A,80.43854382536705,384665.3984282689,path,0
Landrace_A,92.47248351914939,273012.7520342601,path,0
Landrace_A,106.30675048971571,193716.33910214083,path,0
Landrace_A,122.2106811627093,137646.37721180642,path,0
Landrace_A,140.49390580985062,98109.31250154148,path,0
Landrace_A,161.51237667538734,70264.23081209781,path,0
Landrace_A,185.6752979352589,50648.743958105624,path,0
Landrace_A,213.45309240688553,36808.242791763005,path,0
Landrace_A,245.38656011177642,27014.393048558846,path,0
Landrace_A,282.09740699707976,20056.29784777338,path,0
Landrace_A,324.30034879753345,15088.409272569063,path,0
Landrace_A,372.8170256853536,11521.392514437019,path,0
Landrace_A,428.5919986094408,8944.725624123368,path,0
Landrace_A,492.71113875326256,7072.310351785624,path,0
Landrace_A,566.4227681318856,5704.525638192561,path,0
Landrace_A,651.1619629099839,4701.900164478982,path,0
Landrace_A,748.5784925969933,3966.9307059566063,path,0
Landrace_A,860.5689390617115,3431.5858724863247,path,0
Landrace_A,989.3136206846652,3048.7785243948333,path,0
Landrace_A,1137.3190405167713,2786.630158131556,path,0
Landrace_A,1307.4666848585512,2624.743945457115,path,0
Landrace_A,1503.0691223091342,2551.998460441469,path,0
Landrace_A,1727.9344954656074,2565.614678914115,path,0
Landrace_A,1986.4406608479999,2671.4787007572254,path,0
Landrace_A,2283.6204204644764,2885.9776490520962,path,0
Landrace_A,2625.259504372072,3240.0139203081553,path,0
Landrace_A,3018.009211834821,3786.504757085461,path,0
Landrace_A,3469.5159040661943,4596.09665226483,path,0
Landrace_A,3988.5698696227473,5728.793621064593,path,0
Landrace_A,4585.2764606779265,7240.433358967902,path,0
Landrace_A,5271.2528319920575,9162.147621300264,path,0
Landrace_A,6059.854112848006,11462.1300390474,path,0
Landrace_A,6966.433415246249,13998.215695306766,path,0
Landrace_A,8008.64074040404,16489.4034134318,path,0
Landrace_A,9206.766602906262,18698.429749495874,path,0
Landrace_A,10584.137062454061,20532.67502234028,path,0
Landrace_A,12167.567854001181,21968.026964961864,path,0
Landrace_A,13987.886457641529,23041.280765622843,path,0
Landrace_A,16080.532272316865,23837.30443112914,path,0
Landrace_A,18486.246577999707,24474.146447754036,path,0
Landrace_A,21251.865719079724,25091.27733890887,path,0
Landrace_A,24431.232951273632,25844.47489079772,path,0
Landrace_A,28086.246704613834,26909.603594625092,path,0
Landrace_A,32288.0656709267,28497.479780890837,path,0
Landrace_A,37118.49417739454,30883.077265152697,path,0
Landrace_A,42671.57481774686,34332.35371685352,path,0
Landrace_A,49055.41934768162,38942.40007841194,path,0
Landrace_A,56394.31348983338,44783.13757786647,path,0
Landrace_A,64831.13662629217,51881.85917157341,path,0
Landrace_A,74530.14348715627,60167.54543981459,path,0
Landrace_A,85680.16199122745,69405.09482507753,path,0
Landrace_A,98498.26949693264,79129.6499008613,path,0
Landrace_A,113234.01903562837,88601.79359210013,path,0
Landrace_A,130174.2978069309,96813.89693737363,path,0
Landrace_A,149648.91252509362,102579.6824797329,path,0
Landrace_A,172037.010356362,104724.91145666262,path,0
Landrace_B,0.0,91618.45086745732,path,1
Landrace_B,0.17431632064120753,91618.45086745732,path,1
Landrace_B,0.20040030046821097,91618.3983410804,path,1
Landrace_B,0.2303873801375752,91618.30098585773,path,1
Landrace_B,0.26486160351378896,91618.24913745729,path,1
Landrace_B,0.3044944083916605,91618.33313140976,path,1
Landrace_B,0.3500577037658861,91618.63570761548,path,1
Landrace_B,0.4024389039296419,91619.07378994551,path,1
Landrace_B,0.46265821221408276,91619.403281136,path,1
Landrace_B,0.5318884909957748,91619.37344437743,path,1
Landrace_B,0.611478104970621,91618.73354613438,path,1
Landrace_B,0.7029771826016668,91617.29671067452,path,1
Landrace_B,0.8081678072223368,91615.42878111465,path,1
Landrace_B,0.9290987258126295,91613.77890610654,path,1
Landrace_B,1.0681252514543285,91612.99849515487,path,1
Landrace_B,1.2279551366260875,91613.73895258924,path,1
Landrace_B,1.411701310790394,91616.65176254784,path,1
Landrace_B,1.6229425094169014,91622.3489965587,path,1
Landrace_B,1.865792975284352,91630.89977159764,path,1
Landrace_B,2.14498258959966,91641.97919847588,path,1
Landrace_B,2.465948993609251,91655.25361007985,path,1
Landrace_B,2.8349434949108026,91670.38932042787,path,1
Landrace_B,3.2591528211514116,91687.05255072968,path,1
Landrace_B,3.7468390924502026,91704.9093676097,path,1
Landrace_B,4.307500738720611,91723.62563349618,path,1
Landrace_B,4.952057496001268,91742.8669691823,path,1
Landrace_B,5.6930630848797,91762.29872857306,path,1
Landrace_B,6.54494971324373,91781.58598563152,path,1
Landrace_B,7.524309165422556,91800.3935335426,path,1
Landrace_B,8.65021595235496,91818.38589611066,path,1
Landrace_B,9.944598816624262,91835.22735141046,path,1
Landrace_B,11.432667827984238,91850.5819677042,path,1
Landrace_B,13.143405387709208,91864.11365163945,path,1
Landrace_B,15.110130704822714,91875.4862087344,path,1
Landrace_B,17.37114873823578,91884.36341615395,path,1
Landrace_B,19.970496243927165,91890.40910777143,path,1
Landrace_B,22.958799457566155,91893.28727150481,path,1
Landrace_B,26.39426011724814,91892.66215890479,path,1
Landrace_B,30.343789030631125,91888.19840696237,path,1
Landrace_B,34.88430926441311,91879.56117209268,path,1
Landrace_B,40.10425433774212,91866.41627623714,path,1
Landrace_B,46.10529059914771,91848.43036501357,path,1
Landrace_B,53.00429733289826,91825.2710778251,path,1
Landrace_B,60.93564316035827,91796.60722982789,path,1
Landrace_B,70.05380307271551,91762.10900563207,path,1
Landrace_B,80.53636706576046,91721.44816459964,path,1
Landrace_B,92.58749897444338,91674.29825757505,path,1
Landrace_B,106.4419128732598,91620.33485486955,path,1
Landrace_B,122.3694444888936,91419.97670733584,path,1
Landrace_B,140.68030666031214,90326.59033584519,path,1
Landrace_B,161.73113120437273,87484.55276498778,path,1
Landrace_B,185.9319148614372,82225.08451633212,path,1
Landrace_B,213.75400460382122,74473.1873488256,path,1
Landrace_B,245.7392778330755,65473.420826861686,path,1
Landrace_B,282.51069626436345,56508.68179443296,path,1
Landrace_B,324.78443905084566,48424.6054726138,path,1
Landrace_B,373.3838514590737,41387.9082848786,path,1
Landrace_B,429.2554807670015,34083.939730478676,path,1
Landrace_B,493.4875117080583,25768.507143770566,path,1
Landrace_B,567.3309605195194,17040.366620086563,path,1
Landrace_B,652.2240403814139,9472.225222964567,path,1
Landrace_B,749.8201727998603,4953.979077128495,path,1
Landrace_B,814.0520487172155,4953.979077128495,path,1
Landrace_A,0.0,76229.43954426241,path,2
Landrace_A,0.17431632064120753,76229.43954426241,path,2
Landrace_A,0.20039476500977385,77806.57430016148,path,2
Landrace_A,0.23037465278985073,82614.58518790737,path,2
Landrace_A,0.2648396560930909,91050.76872583256,path,2
Landrace_A,0.3044607667992402,103928.95458384903,path,2
Landrace_A,0.35000935995551447,122611.12607307073,path,2
Landrace_A,0.40237221151469116,149766.9368869098,path,2
Landrace_A,0.46256876278908926,190432.6671873758,path,2
Landrace_A,0.5317709677384522,253465.62752151027,path,2
Landrace_A,0.6113261094943964,355108.85317867756,path,2
Landrace_A,0.70278303033152,525741.8676194161,path,2
Landrace_A,0.8079222857509605,814107.3126844355,path,2
Landrace_A,0.9287908097398764,1250000.0,path,2
Landrace_A,1.0677417660974946,1250000.0,path,2
Landrace_A,1.2274803616847734,1250000.0,path,2
Landrace_A,1.4111165135261794,1250000.0,path,2
Landrace_A,1.6222253951282757,1250000.0,path,2
Landrace_A,1.8649170407786229,1250000.0,path,2
Landrace_A,2.1439163629364115,1250000.0,path,2
Landrace_A,2.4646551405565225,1250000.0,path,2
Landrace_A,2.833377769248294,1250000.0,path,2
Landrace_A,3.257262832096545,1250000.0,path,2
Landrace_A,3.7445628579814882,1250000.0,path,2
Landrace_A,4.3047649883228365,1250000.0,path,2
Landrace_A,4.94877568023501,1250000.0,path,2
Landrace_A,5.68913304204026,1250000.0,path,2
Landrace_A,6.54025093505496,1250000.0,path,2
Landrace_A,7.518699594015326,1250000.0,path,2
Landrace_A,8.643528229482401,1250000.0,path,2
Landrace_A,9.936635892904501,1250000.0,path,2
Landrace_A,11.42319782463077,1250000.0,path,2
Landrace_A,13.13215558535544,1250000.0,path,2
Landrace_A,15.096780513258445,1250000.0,path,2
Landrace_A,17.355321476670664,1250000.0,path,2
Landrace_A,19.951749533223758,1250000.0,path,2
Landrace_A,22.936613993096632,1250000.0,path,2
Landrace_A,26.368026552873033,1250000.0,path,2
Landrace_A,30.312792659905156,1250000.0,path,2
Landrace_A,34.84771213347709,1250000.0,path,2
Landrace_A,40.06107436428743,1250000.0,path,2
Landrace_A,46.05437720197416,1250000.0,path,2
Landrace_A,52.944302995340955,1250000.0,path,2
Landrace_A,60.86499025639439,1066633.3432659754,path,2
Landrace_A,69.97064517474108,761277.6051193444,path,2
Landrace_A,80.43854382536705,541366.1004278188,path,2
Landrace_A,92.47248351914939,384229.6435805251,path,2
Landrace_A,106.30675048971571,272630.34189552936,path,2
Landrace_A,122.2106811627093,193719.22396359735,path,2
Landrace_A,140.49390580985062,138075.99056643018,path,2
Landrace_A,161.51237667538734,98887.6898981048,path,2
Landrace_A,185.6752979352589,71281.46467085936,path,2
Landrace_A,213.45309240688553,51802.774424726376,path,2
Landrace_A,245.38656011177642,38019.215348920545,path,2
Landrace_A,282.09740699707976,28226.60888978465,path,2
Landrace_A,324.30034879753345,21234.95724576554,path,2
Landrace_A,372.8170256853536,16214.848963604249,path,2
Landrace_A,428.5919986094408,12588.528238604868,path,2
Landrace_A,492.71113875326256,9953.349305150576,path,2
Landrace_A,566.4227681318856,8028.371702152735,path,2
Landrace_A,651.1619629099839,6617.3078396069295,path,2
Landrace_A,748.5784925969933,5582.934716057058,path,2
Landrace_A,860.5689390617115,4829.507072021041,path,2
Landrace_A,989.3136206846652,4290.755933763799,path,2
Landrace_A,1137.3190405167713,3921.816488320181,path,2
Landrace_A,1307.4666848585512,3693.9828749338867,path,2
Landrace_A,1503.0691223091342,3591.6031451542817,path,2
Landrace_A,1727.9344954656074,3610.7661869231247,path,2
Landrace_A,1986.4406608479999,3759.7559138779848,path,2
Landrace_A,2283.6204204644764,4061.6350526274937,path,2
Landrace_A,2625.259504372072,4559.894673490269,path,2
Landrace_A,3018.009211834821,5329.008855411768,path,2
Landrace_A,3469.5159040661943,6468.403272019149,path,2
Landrace_A,3988.5698696227473,8062.5257053627,path,2
Landrace_A,4585.2764606779265,10189.960388867376,path,2
Landrace_A,5271.2528319920575,12894.521185305623,path,2
Landrace_A,6059.854112848006,16131.444801611862,path,2
Landrace_A,6966.433415246249,19700.652761802445,path,2
Landrace_A,8008.64074040404,23206.672762315997,path,2
Landrace_A,9206.766602906262,26315.58762230532,path,2
Landrace_A,10584.137062454061,28897.047287368256,path,2
Landrace_A,12167.567854001181,30917.116903958533,path,2
Landrace_A,13987.886457641529,32427.58087396263,path,2
Landrace_A,16080.532272316865,33547.87978674296,path,2
Landrace_A,18486.246577999707,34444.15140497923,path,2
Landrace_A,21251.865719079724,35312.68219917891,path,2
Landrace_A,24431.232951273632,36372.70897357537,path,2
Landrace_A,28086.246704613834,37871.73793537134,path,2
Landrace_A,32288.0656709267,40106.46542173553,path,2
Landrace_A,37118.49417739454,43463.8810159694,path,2
Landrace_A,42671.57481774686,48318.28525816169,path,2
Landrace_A,49055.41934768162,54806.32091654372,path,2
Landrace_A,56394.31348983338,63026.39294959368,path,2
Landrace_A,64831.13662629217,73016.91261398327,path,2
Landrace_A,74530.14348715627,84677.92939047013,path,2
Landrace_A,85680.16199122745,97678.56866980928,path,2
Landrace_A,98498.26949693264,111364.60458903514,path,2
Landrace_A,113234.01903562837,124695.40458760626,path,2
Landrace_A,130174.2978069309,136252.86305022388,path,2
Landrace_A,149648.91252509362,144367.45003341517,path,2
Landrace_A,172037.010356362,147386.57847727955,path,2
Wild,0.0,49213.63420543289,path,3
Wild,0.17431632064120753,49213.63420543289,path,3
Wild,0.2016712091918136,49213.521813772844,path,3
Wild,0.23331881069588067,49213.32111699762,path,3
Wild,0.2699327665198026,49213.236830692294,path,3
Wild,0.31229243036048393,49213.47366974879,path,3
Wild,0.36129945733469543,49214.191039129866,path,3
Wild,0.4179969963398231,49215.090080539376,path,3
Wild,0.4835918942088467,49215.60584987126,path,3
Wild,0.5594803842905511,49215.17010994021,path,3
Wild,0.6472778062543815,49213.21589662627,path,3
Wild,0.7488529897268105,49209.69345034245,path,3
Wild,0.8663680336390138,49205.87193697103,path,3
Wild,1.0023243280171121,49203.22741908434,path,3
Wild,1.1596157978210468,49203.23570004407,path,3
Wild,1.3415905021644703,49207.37289840225,path,3
Wild,1.5521219000982176,49216.51035518258,path,3
Wild,1.7956912998994712,49184.62910763375,path,3
Wild,2.0774832468574855,49055.48963326016,path,3
Wild,2.4034958799517163,48833.45340287469,path,3
Wild,2.780668606441549,48525.65889013497,path,3
Wild,3.21702981201071,48139.568812070276,path,3
Wild,3.721867750580232,47682.85754910556,path,3
Wild,4.305928251299351,47163.306695313,path,3
Wild,4.981643451046146,46588.70996587579,path,3
Wild,5.763396421169421,45966.7883261418,path,3
Wild,6.667827321237327,45305.115869971516,path,3
Wild,7.714187596489807,44611.05667140463,path,3
Wild,8.924749758335729,43891.712567784554,path,3
Wild,10.325281470359553,43153.881607144685,path,3
Wild,11.945594031090353,42404.026708808604,path,3
Wild,13.820176928373096,41648.25394320248,path,3
Wild,15.988931972276513,40892.299732999054,path,3
Wild,18.49802263307065,40141.52621015793,path,3
Wild,21.400856663027923,39400.923928797194,path,3
Wild,24.7592229178411,38675.121128334606,path,3
Wild,28.644606575698404,37968.39876102963,path,3
Wild,33.13971074937471,37284.71053902645,path,3
Wild,38.34021687991872,36627.7073145339,path,3
Wild,44.35682138314798,36000.76517949841,path,3
Wild,51.31759190039998,35407.01675507097,path,3
Wild,59.37069330798602,34849.38523388066,path,3
Wild,68.6875415103698,34330.620837692506,path,3
Wild,79.4664521477661,33853.33945811605,path,3
Wild,91.93686188345873,33420.063357919935,path,3
Wild,106.36421212389264,33033.26392509849,path,3
Wild,123.05559912494618,32695.406591679406,path,3
Wild,142.36631075085012,32408.998155582773,path,3
Wild,164.70738902524934,32176.636878586804,path,3
Wild,190.55437944860026,32001.06587935746,path,3
Wild,220.45745331725635,31885.23050116479,path,3
Wild,255.05311850489366,31832.340513958854,path,3
Wild,295.07776797845867,31845.938215722843,path,3
Wild,341.38335443829743,31929.973735701707,path,3
Wild,394.9555247281522,32088.889121222794,path,3
Wild,456.93460001865503,32327.713121556964,path,3
Wild,528.6398483422093,32652.168980529685,path,3
Wild,611.597566137178,33068.79803174463,path,3
Wild,707.5735665367042,33585.102478092376,path,3
Wild,818.6107659381639,34209.71145805062,path,3
Wild,947.0726689096932,34952.57538971652,path,3
Wild,1095.693677040504,35825.19468338906,path,3
Wild,1267.6372925940866,36840.89028066317,path,3
Wild,1466.5634558698523,38015.12518376664,path,3
Wild,1696.7064495960974,39365.88827482488,path,3
Wild,1962.9650286038989,40914.15440880919,path,3
Wild,2271.0066932551395,42684.438148582056,path,3
Wild,2627.388326157677,44705.46279355972,path,3
Wild,3039.6957600045603,47010.17302576462,path,3
Wild,3516.705247336628,49507.345532699605,path,3
Wild,4068.5702692253712,51801.449929159215,path,3
Wild,4707.037659229824,53390.505329584805,path,3
Wild,5445.697642977207,53739.218329759766,path,3
Wild,6300.273115635071,52369.59488449888,path,3
Wild,7288.954314748428,48987.242840599,path,3
Wild,8432.78601218773,43846.361388518584,path,3
Wild,9756.115466859424,38490.8032767228,path,3
Wild,11287.110673166548,34270.39986532305,path,3
Wild,13058.359936500521,32002.77585185583,path,3
Wild,13262.114898207174,32002.77585185583,path,3
Landrace_A,0.0,64307.145905149926,path,4
Landrace_A,0.17431632064120753,64307.145905149926,path,4
Landrace_A,0.20039476500977385,65637.6165929318,path,4
Landrace_A,0.23037465278985073,69693.65399161026,path,4
Landrace_A,0.2648396560930909,76810.41739560949,path,4
Landrace_A,0.3044607667992402,87674.45341523987,path,4
Landrace_A,0.35000935995551447,103434.73100569526,path,4
Landrace_A,0.40237221151469116,126343.36969723656,path,4
Landrace_A,0.46256876278908926,160648.97482047894,path,4
Landrace_A,0.5317709677384522,213823.5724729656,path,4
Landrace_A,0.6113261094943964,299569.78524434776,path,4
Landrace_A,0.70278303033152,443515.7754218661,path,4
Landrace_A,0.8079222857509605,686780.829719323,path,4
Landrace_A,0.9287908097398764,1092882.4550600068,path,4
Landrace_A,1.0677417660974946,1250000.0,path,4
Landrace_A,1.2274803616847734,1250000.0,path,4
Landrace_A,1.4111165135261794,1250000.0,path,4
Landrace_A,1.6222253951282757,1250000.0,path,4
Landrace_A,1.8649170407786229,1250000.0,path,4
Landrace_A,2.1439163629364115,1250000.0,path,4
Landrace_A,2.4646551405565225,1250000.0,path,4
Landrace_A,2.833377769248294,1250000.0,path,4
Landrace_A,3.257262832096545,1250000.0,path,4
Landrace_A,3.7445628579814882,1250000.0,path,4
Landrace_A,4.3047649883228365,1250000.0,path,4
Landrace_A,4.94877568023501,1250000.0,path,4
Landrace_A,5.68913304204026,1250000.0,path,4
Landrace_A,6.54025093505496,1250000.0,path,4
Landrace_A,7.518699594015326,1250000.0,path,4
Landrace_A,8.643528229482401,1250000.0,path,4
Landrace_A,9.936635892904501,1250000.0,path,4
Landrace_A,11.42319782463077,1250000.0,path,4
Landrace_A,13.13215558535544,1250000.0,path,4
Landrace_A,15.096780513258445,1250000.0,path,4
Landrace_A,17.355321476670664,1250000.0,path,4
Landrace_A,19.951749533223758,1250000.0,path,4
Landrace_A,22.936613993096632,1250000.0,path,4
Landrace_A,26.368026552873033,1250000.0,path,4
Landrace_A,30.312792659905156,1250000.0,path,4
Landrace_A,34.84771213347709,1250000.0,path,4
Landrace_A,40.06107436428743,1250000.0,path,4
Landrace_A,46.05437720197416,1250000.0,path,4
Landrace_A,52.944302995340955,1250000.0,path,4
Landrace_A,60.86499025639439,899811.7583282912,path,4
Landrace_A,69.97064517474108,642213.6948587542,path,4
Landrace_A,80.43854382536705,456696.37631402636,path,4
Landrace_A,92.47248351914939,324136.08047674986,path,4
Landrace_A,106.30675048971571,229990.9231822013,path,4
Landrace_A,122.2106811627093,163421.513716181,path,4
Landrace_A,140.49390580985062,116480.88880671628,path,4
Landrace_A,161.51237667538734,83421.64314100987,path,4
Landrace_A,185.6752979352589,60133.034905236455,path,4
Landrace_A,213.45309240688553,43700.814188567456,path,4
Landrace_A,245.38656011177642,32073.00543279897,path,4
Landrace_A,282.09740699707976,23811.963817850305,path,4
Landrace_A,324.30034879753345,17913.80734342349,path,4
Landrace_A,372.8170256853536,13678.84460867653,path,4
Landrace_A,428.5919986094408,10619.6808872117,path,4
Landrace_A,492.71113875326256,8396.64426024784,path,4
Landrace_A,566.4227681318856,6772.733389064671,path,4
Landrace_A,651.1619629099839,5582.360086667128,path,4
Landrace_A,748.5784925969933,4709.763045757964,path,4
Landrace_A,860.5689390617115,4074.171577111987,path,4
Landrace_A,989.3136206846652,3619.681182566226,path,4
Landrace_A,1137.3190405167713,3308.443911373491,path,4
Landrace_A,1307.4666848585512,3116.243502899771,path,4
Landrace_A,1503.0691223091342,3029.8759753405,path,4
Landrace_A,1727.9344954656074,3046.041915040213,path,4
Landrace_A,1986.4406608479999,3171.7296305335344,path,4
Landrace_A,2283.6204204644764,3426.39483517555,path,4
Landrace_A,2625.259504372072,3846.7265905843283,path,4
Landrace_A,3018.009211834821,4495.551220677894,path,4
Landrace_A,3469.5159040661943,5456.744211605489,path,4
Landrace_A,3988.5698696227473,6801.545702008317,path,4
Landrace_A,4585.2764606779265,8596.249341622166,path,4
Landrace_A,5271.2528319920575,10877.816499739794,path,4
Landrace_A,6059.854112848006,13608.484867788919,path,4
Landrace_A,6966.433415246249,16619.468267824606,path,4
Landrace_A,8008.64074040404,19577.146312781046,path,4
Landrace_A,9206.766602906262,22199.82650960889,path,4
Landrace_A,10584.137062454061,24377.5455683076,path,4
Landrace_A,12167.567854001181,26081.676050563103,path,4
Landrace_A,13987.886457641529,27355.90327149295,path,4
Landrace_A,16080.532272316865,28300.98729772031,path,4
Landrace_A,18486.246577999707,29057.081925585142,path,4
Landrace_A,21251.865719079724,29789.774397675068,path,4
Landrace_A,24431.232951273632,30684.012855310546,path,4
Landrace_A,28086.246704613834,31948.59350471025,path,4
Landrace_A,32288.0656709267,33833.80933973455,path,4
Landrace_A,37118.49417739454,36666.12472567226,path,4
Landrace_A,42671.57481774686,40761.29955250509,path,4
Landrace_A,49055.41934768162,46234.60564285259,path,4
Landrace_A,56394.31348983338,53169.05740768883,path,4
Landrace_A,64831.13662629217,61597.05857845865,path,4
Landrace_A,74530.14348715627,71434.29090931584,path,4
Landrace_A,85680.16199122745,82401.62862024379,path,4
Landrace_A,98498.26949693264,93947.166853012,path,4
Landrace_A,113234.01903562837,105193.02810642862,path,4
Landrace_A,130174.2978069309,114942.89865633231,path,4
Landrace_A,149648.91252509362,121788.36324596909,path,4
Landrace_A,172037.010356362,124335.29963310127,path,4
Early_Cultivar,0.0,243001.91926117058,path,5
Early_Cultivar,0.13329962582312258,243001.91926117058,path,5
Early_Cultivar,0.15374143092933779,249956.30614882716,path,5
